"Time (s)"	"Acceleration (m/sÂ²)"
2.236696658E1	3.331685007E-2
2.240718058E1	5.487494946E-2
2.244739558E1	-2.669955611E-2
2.248760958E1	-2.370227337E-2
2.252782458E1	6.252310753E-2
2.256803858E1	-1.126115263E-2
2.260825258E1	-7.726803124E-2
2.264846758E1	2.991318583E-2
2.268868158E1	-1.217975020E-3
2.272889558E1	-1.018006092E-1
2.276911058E1	-5.449020267E-2
2.280932458E1	-7.289548337E-2
2.284953858E1	-3.593698740E-3
2.288975358E1	6.734238267E-3
2.292996775E1	7.194414139E-3
2.297018275E1	-2.288424790E-2
2.301039675E1	-1.824740589E-2
2.305061075E1	-2.138969958E-2
2.309082575E1	-6.584608018E-2
2.313103975E1	-4.098898172E-2
2.317125375E1	-4.816351533E-2
2.321146875E1	3.985637605E-2
2.325168275E1	3.671934485E-2
2.329189675E1	-4.785244346E-2
2.333211175E1	3.836650550E-2
2.337232575E1	-3.827879727E-2
2.341254075E1	-3.184276700E-2
2.345275475E1	-1.492852628E-2
2.349296875E1	6.171151400E-3
2.353318375E1	-1.328487396E-2
2.357339775E1	7.822989821E-3
2.361361175E1	2.758248568E-2
2.365382675E1	5.108303010E-2
2.369404075E1	-6.403519750E-2
2.373425475E1	9.285378456E-4
2.377446975E1	2.869228721E-3
2.381468375E1	-6.015790880E-2
2.385489875E1	-6.105194807E-2
2.389511275E1	-5.941297352E-2
2.393532671E1	-1.270950794E-2
2.397554171E1	-5.567309439E-2
2.401575571E1	2.755324960E-2
2.405596971E1	-3.157087147E-2
2.409618471E1	-1.112076098E-1
2.413639871E1	-3.246081769E-2
2.417661371E1	4.432540298E-2
2.421682771E1	-5.640867412E-2
2.425704171E1	-1.164706886E-2
2.429725671E1	3.318294883E-3
2.433747071E1	-1.868594706E-2
2.437768471E1	-9.053945661E-2
2.441789971E1	-6.524206281E-2
2.445811371E1	-8.667327762E-3
2.449832871E1	-6.599401474E-2
2.453854271E1	-4.922653913E-2
2.457875671E1	-3.335778058E-2
2.461897171E1	-9.548035383E-2
2.465918571E1	-8.051615953E-2
2.469939971E1	-1.592594433E-1
2.473961471E1	-1.728817016E-1
2.477982871E1	-1.028343970E-1
2.482004271E1	-1.242422229E-1
2.486025771E1	-2.398007458E-1
2.490047171E1	-1.538870215E-1
2.494068658E1	-2.980384290E-1
2.498090058E1	-3.293280494E-1
2.502111458E1	-3.266412538E-1
2.506132958E1	-4.664546120E-1
2.510154358E1	-3.859296817E-1
2.514175758E1	-4.633269364E-1
2.518197258E1	-5.288941044E-1
2.522218658E1	-6.941486979E-1
2.526240158E1	-6.972944999E-1
2.530261558E1	-6.963963675E-1
2.534282958E1	-6.541823941E-1
2.538304458E1	-7.481851566E-1
2.542325858E1	-7.860546488E-1
2.546347258E1	-7.950336331E-1
2.550368758E1	-7.793227494E-1
2.554390158E1	-8.068777531E-1
2.558411658E1	-7.950523442E-1
2.562433058E1	-8.145159709E-1
2.566454458E1	-7.580880010E-1
2.570475958E1	-7.916229522E-1
2.574497358E1	-8.137768829E-1
2.578518758E1	-7.745607769E-1
2.582540258E1	-7.929765826E-1
2.586561658E1	-7.423876423E-1
2.590583158E1	-7.182930207E-1
2.594604508E1	-6.958467293E-1
2.598625908E1	-6.070871651E-1
2.602647408E1	-5.777516842E-1
2.606668808E1	-4.972203219E-1
2.610690308E1	-5.090469003E-1
2.614711708E1	-4.758171737E-1
2.618733108E1	-4.401941818E-1
2.622754608E1	-5.205191374E-2
2.626776008E1	-3.018858969E-1
2.630797408E1	-4.280810899E-1
2.634818908E1	-1.451723313E-1
2.638840308E1	-3.240556151E-1
2.642861808E1	-4.722497874E-1
2.646883208E1	-3.855794334E-1
2.650904608E1	-3.513036400E-1
2.654926108E1	-3.240620470E-1
2.658947508E1	-2.574493968E-1
2.662969008E1	-2.287056541E-1
2.666990408E1	-1.640360337E-1
2.671011808E1	-1.426305467E-1
2.675033308E1	-1.034185338E-1
2.679054708E1	-6.569873035E-2
2.683076108E1	3.602469563E-3
2.687097608E1	-4.834244013E-2
2.691119008E1	-3.980959833E-2
2.695140533E1	-1.855555415E-2
2.699161933E1	-3.263097167E-2
2.703183333E1	-9.582417011E-3
2.707204833E1	-4.131876469E-2
2.711226233E1	-4.350913167E-3
2.715247733E1	-2.306375742E-2
2.719269133E1	7.752530873E-2
2.723290533E1	8.518223763E-3
2.727312033E1	-1.130278480E-1
2.731333433E1	-3.159893811E-2
2.735354933E1	-3.489267468E-2
2.739376333E1	-9.440914392E-3
2.743397733E1	-2.740706921E-2
2.747419233E1	-3.040786028E-2
2.751440633E1	-1.903794944E-2
2.755462133E1	-2.338126123E-2
2.759483533E1	-2.832625151E-2
2.763504933E1	-2.533657014E-2
2.767526433E1	-3.177610874E-2
2.771547833E1	-2.653992712E-2
2.775569333E1	-1.965541542E-2
2.779590733E1	-1.441864908E-2
2.783612133E1	-1.906484663E-2
2.787633633E1	-2.490855396E-2
2.791655033E1	-2.775380909E-2
2.795676508E1	-3.823494315E-2
2.799697908E1	-2.446942806E-2
2.803719308E1	-3.360277891E-2
2.807740808E1	-2.507519960E-2
2.811762208E1	-2.762517035E-2
2.815783708E1	-2.733222485E-2
2.819805108E1	-3.227195263E-2
2.823826608E1	-4.738817453E-2
2.827848008E1	-3.017572582E-2
2.831869408E1	-2.898523271E-2
2.835890908E1	-2.764154255E-2
2.839912308E1	-3.123582602E-2
2.843933808E1	-3.378404260E-2
2.847955208E1	-2.734742761E-2
2.851976608E1	-2.898991048E-2
2.855998108E1	-3.167962968E-2
2.860019508E1	-2.584235430E-2
2.864041008E1	-2.704454184E-2
2.868062408E1	-4.890026450E-2
2.872083908E1	-3.587208331E-2
2.876105308E1	-2.598444164E-2
2.880126708E1	-3.556159616E-2
2.884148208E1	-3.230586648E-3
2.888169608E1	-2.478810132E-2
2.892191121E1	-3.631530225E-2
2.896212521E1	-3.256840646E-2
2.900234021E1	-2.747957468E-2
2.904255421E1	-2.344090283E-2
2.908276821E1	-2.389172316E-2
2.912298321E1	-1.581321001E-2
2.916319721E1	-3.227429152E-2
2.920341221E1	-2.075176835E-2
2.924362621E1	-3.661935747E-2
2.928384121E1	-3.781920612E-2
2.932405521E1	-3.841854572E-2
2.936427021E1	-1.432392418E-2
2.940448421E1	-2.465069175E-2
2.944469821E1	-2.973952353E-2
2.948491321E1	-1.326967120E-2
2.952512721E1	-2.120024979E-2
2.956534221E1	-3.197959185E-2
2.960555621E1	-1.252356648E-2
2.964577121E1	-1.611901939E-2
2.968598521E1	-3.408283532E-2
2.972619921E1	-3.678015590E-2
2.976641421E1	-2.061085045E-2
2.980662821E1	-2.720358610E-2
2.984684321E1	-3.573818207E-2
2.988705721E1	-2.361514986E-2
2.992727271E1	-1.957823217E-2
2.996748671E1	-2.481909156E-2
3.000770171E1	-2.167504370E-2
3.004791571E1	-2.182765603E-2
3.008813071E1	-1.583835304E-2
3.012834471E1	-3.155449927E-2
3.016855871E1	-2.377360940E-2
3.020877371E1	-3.035815895E-2
3.024898771E1	-2.421858251E-2
3.028920271E1	-3.425006568E-2
3.032941671E1	-3.379632175E-2
3.036963171E1	-2.032667577E-2
3.040984571E1	-2.825842381E-2
3.045006071E1	-2.661360204E-2
3.049027471E1	-1.044780493E-2
3.053048971E1	-3.350220680E-2
3.057070371E1	-3.334608614E-2
3.061091871E1	-1.823103368E-2
3.065113271E1	-2.017815650E-2
3.069134671E1	-1.913208961E-2
3.073156171E1	-3.649364233E-2
3.077177571E1	-3.080313206E-2
3.081199071E1	-2.152418554E-2
3.085220471E1	-2.781111181E-2
3.089241971E1	-2.841103613E-2
3.093263333E1	-1.919056177E-3
3.097284833E1	-1.943439066E-2
3.101306233E1	-1.419645488E-2
3.105327733E1	-2.093420148E-2
3.109349133E1	-1.944257677E-2
3.113370633E1	-2.962667227E-2
3.117392033E1	-1.436485469E-2
3.121413533E1	-3.262687862E-2
3.125434933E1	-2.244863033E-2
3.129456433E1	-3.981603026E-2
3.133477833E1	-1.960512936E-2
3.137499333E1	-2.529622436E-2
3.141520733E1	-1.856198609E-2
3.145542233E1	-1.018000245E-2
3.149563633E1	-1.781529665E-2
3.153585133E1	-3.667666018E-2
3.157606533E1	-3.128903568E-2
3.161628033E1	-2.605051517E-2
3.165649433E1	-1.647160649E-2
3.169670933E1	-3.907226443E-2
3.173692333E1	-3.203280151E-2
3.177713833E1	-2.245155394E-2
3.181735233E1	-1.855847776E-2
3.185756733E1	-2.888349116E-2
3.189778133E1	-3.367411494E-2
3.193799688E1	-2.754447877E-2
3.197821088E1	-2.964012086E-2
3.201842588E1	-1.617105961E-2
3.205863988E1	-4.942066669E-3
3.209885488E1	-3.548616707E-2
3.213906888E1	-2.546111584E-2
3.217928388E1	-1.528286755E-2
3.221949788E1	-1.992438734E-2
3.225971288E1	-3.054877818E-2
3.229992688E1	-1.857660413E-2
3.234014188E1	-3.833493054E-2
3.238035588E1	-1.708030164E-2
3.242057088E1	-2.606337905E-2
3.246078488E1	-2.292108536E-2
3.250099988E1	-2.860691786E-2
3.254121388E1	-7.203184962E-3
3.258142888E1	-2.591369033E-2
3.262164288E1	-3.100193739E-2
3.266185788E1	-2.696034193E-2
3.270207188E1	-3.294438243E-2
3.274228688E1	-1.647920787E-2
3.278250088E1	-1.363570690E-2
3.282271588E1	-1.737500131E-2
3.286292988E1	-3.249414682E-2
3.290314488E1	-1.977586806E-2
3.294335858E1	-5.016267836E-2
3.298357358E1	-2.863381505E-3
3.302378758E1	-2.876186907E-2
3.306400258E1	-1.618567765E-2
3.310421658E1	-2.277432024E-2
3.314443158E1	-2.562191427E-2
3.318464658E1	-1.020222187E-2
3.322486058E1	-1.454377949E-2
3.326507558E1	-1.020046771E-2
3.330528958E1	-2.172708392E-2
3.334550458E1	-7.956306338E-3
3.338571858E1	-3.759584248E-2
3.342593358E1	-3.954413474E-2
3.346614758E1	-2.008810937E-2
3.350636258E1	-3.865009546E-2
3.354657658E1	-3.925294340E-2
3.358679158E1	-8.610668242E-2
3.362700558E1	6.942399144E-2
3.366722058E1	3.948332369E-2
3.370743458E1	-1.485192776E-2
3.374764958E1	5.206945539E-3
3.378786358E1	4.622808695E-2
3.382807858E1	-4.882308125E-2
3.386829258E1	-2.568681836E-3
3.390850758E1	-4.403362691E-2
3.394872233E1	-6.184541523E-2
3.398893633E1	-5.540704608E-2
3.402915133E1	5.581225812E-2
3.406936533E1	-4.612459123E-2
3.410958033E1	-6.722251475E-2
3.414979433E1	-5.030827403E-2
3.419000933E1	-2.426126719E-2
3.423022333E1	-5.000655770E-2
3.427043833E1	-3.204449594E-2
3.431065233E1	-3.279060066E-2
3.435086733E1	-2.261059821E-2
3.439108133E1	-1.797200203E-2
3.443129633E1	5.078891516E-3
3.447151133E1	-1.363044441E-2
3.451172533E1	-3.698305428E-2
3.455194033E1	-2.621248305E-2
3.459215433E1	-2.097630143E-2
3.463236933E1	-2.098039448E-2
3.467258333E1	-2.247728169E-2
3.471279833E1	-3.879744530E-2
3.475301233E1	-2.847418606E-2
3.479322733E1	4.602928162E-3
3.483344133E1	-1.695400178E-2
3.487365633E1	-2.069797397E-2
3.491387133E1	-3.866003573E-2
3.495408508E1	-2.832975984E-2
3.499430008E1	-1.171548128E-2
3.503451408E1	-2.758423984E-2
3.507472908E1	-1.695517123E-2
3.511494308E1	-3.806128085E-2
3.515515808E1	-1.830587804E-2
3.519537208E1	-2.219836950E-2
3.523558708E1	-3.222809851E-2
3.527580208E1	-1.036652863E-2
3.531601608E1	-3.895181179E-2
3.535623108E1	-2.697788358E-2
3.539644508E1	-2.353738189E-2
3.543666008E1	-1.950572670E-2
3.547687408E1	-3.851560950E-2
3.551708908E1	-2.579674602E-2
3.555730308E1	-3.073530436E-2
3.559751808E1	-4.688297510E-3
3.563773208E1	-3.790749907E-3
3.567794708E1	-4.181343913E-2
3.571816208E1	-2.580785573E-2
3.575837608E1	-4.481481493E-2
3.579859108E1	-1.307612836E-2
3.583880508E1	-1.592255294E-2
3.587902008E1	-1.622485399E-2
3.591923408E1	-3.194450855E-2
3.595944958E1	-3.209068894E-2
3.599966358E1	1.144884825E-3
3.603987858E1	-1.681717694E-2
3.608009358E1	-4.016101599E-2
3.612030758E1	-2.084824741E-2
3.616052258E1	-1.785271883E-2
3.620073658E1	-1.246275544E-2
3.624095158E1	-2.069154203E-2
3.628116558E1	-1.200901151E-2
3.632138058E1	-1.455898225E-2
3.636159458E1	-3.806011140E-2
3.640180958E1	-3.177260041E-2
3.644202458E1	-7.835268974E-4
3.648223858E1	-1.934609771E-2
3.652245358E1	-3.072711825E-2
3.656266758E1	-3.177844763E-2
3.660288258E1	-2.115171790E-2
3.664309658E1	-3.297829628E-2
3.668331158E1	-1.861285686E-2
3.672352558E1	-1.891749680E-2
3.676374058E1	-2.101840138E-2
3.680395558E1	-3.912956715E-2
3.684416958E1	-3.838170826E-2
3.688438458E1	-2.131368577E-2
3.692459858E1	-2.236150682E-2
3.696481308E1	-2.371104419E-2
3.700502708E1	-2.760119677E-2
3.704524208E1	-3.329112232E-2
3.708545608E1	-2.071960866E-2
3.712567108E1	-1.354098201E-2
3.716588608E1	-3.075752378E-2
3.720610008E1	-2.252581358E-2
3.724631508E1	-3.255495787E-2
3.728652908E1	-3.405476868E-2
3.732674408E1	-1.818542540E-2
3.736695808E1	-1.279780090E-2
3.740717308E1	-1.189732969E-2
3.744738808E1	-2.791460752E-2
3.748760208E1	-2.835899591E-2
3.752781708E1	-2.536580622E-2
3.756803108E1	-3.284731865E-2
3.760824608E1	-3.000381768E-2
3.764846008E1	-1.698206842E-2
3.768867508E1	-1.653241754E-2
3.772889008E1	-2.176918387E-2
3.776910408E1	-3.898514092E-2
3.780931908E1	-3.629659116E-2
3.784953308E1	-1.968172789E-2
3.788974808E1	-2.312866151E-2
3.792996233E1	-2.148559391E-2
3.797017733E1	-3.031664371E-2
3.801039133E1	-2.582539737E-2
3.805060633E1	-2.013605654E-2
3.809082133E1	-2.117978454E-2
3.813103533E1	-1.025484681E-2
3.817125033E1	-3.668543100E-3
3.821146433E1	-3.629951477E-2
3.825167933E1	-2.208084047E-2
3.829189333E1	-1.698733091E-2
3.833210833E1	-3.195737243E-2
3.837232333E1	-2.701822937E-2
3.841253733E1	-2.911387146E-2
3.845275233E1	-2.612126648E-2
3.849296633E1	-1.160146058E-2
3.853318133E1	-2.537223816E-2
3.857339533E1	-1.848597229E-2
3.861361033E1	-2.821573913E-2
3.865382533E1	-2.881390929E-2
3.869403933E1	-3.031430483E-2
3.873425433E1	-1.714403629E-2
3.877446833E1	-3.091598332E-2
3.881468333E1	-2.492784977E-2
3.885489733E1	-2.163762152E-2
3.889511233E1	-2.448170722E-2
3.893532783E1	-2.807716012E-2
3.897554183E1	-1.341058910E-2
3.901575683E1	-5.327398181E-3
3.905597083E1	-2.748308301E-2
3.909618583E1	-3.077974319E-2
3.913639983E1	-1.985363603E-2
3.917661483E1	-4.006453693E-2
3.921682883E1	-2.898698688E-2
3.925704383E1	-3.018975914E-2
3.929725883E1	-2.479687214E-2
3.933747283E1	-3.572239459E-2
3.937768783E1	-2.733748734E-2
3.941790183E1	-1.910519242E-2
3.945811683E1	-2.734216511E-2
3.949833083E1	1.995069981E-3
3.953854583E1	-2.689543784E-2
3.957876083E1	-4.351147056E-2
3.961897483E1	-2.165399373E-2
3.965918983E1	-2.659606040E-2
3.969940383E1	-2.779240072E-2
3.973961883E1	-1.791119099E-2
3.977983283E1	-3.153111041E-2
3.982004783E1	-1.177395344E-2
3.986026283E1	-3.542594075E-2
3.990047683E1	-3.332971394E-2
3.994069158E1	-2.809119344E-2
3.998090558E1	-1.925780475E-2
4.002112058E1	-2.210656822E-2
4.006133458E1	-5.758396447E-2
4.010154958E1	-6.881295741E-2
4.014176458E1	-7.974140346E-2
4.018197858E1	-8.153357506E-2
4.022219358E1	-1.238966525E-1
4.026240758E1	-1.292872006E-1
4.030262258E1	-1.595260763E-1
4.034283658E1	-1.825781393E-1
4.038305158E1	-2.032351828E-1
4.042326658E1	-2.024849850E-1
4.046348058E1	-2.244921505E-1
4.050369558E1	-3.825611007E-1
4.054390958E1	-3.315219247E-1
4.058412458E1	-2.111745322E-1
4.062433858E1	-2.837747312E-1
4.066455358E1	-2.432085031E-1
4.070476858E1	-3.122126645E-1
4.074498258E1	-3.634032834E-1
4.078519758E1	-3.553171688E-1
4.082541158E1	-4.181881857E-1
4.086562658E1	-4.744740683E-1
4.090584058E1	-5.157875705E-1
4.094605500E1	-5.419860202E-1
4.098627000E1	-5.767126340E-1
4.102648400E1	-5.841959006E-1
4.106669900E1	-6.328423959E-1
4.110691300E1	-6.561990988E-1
4.114712800E1	-6.790997189E-1
4.118734200E1	-7.064950937E-1
4.122755700E1	-7.588931626E-1
4.126777200E1	-7.286577952E-1
4.130798600E1	-7.686299461E-1
4.134820100E1	-7.662360960E-1
4.138841500E1	-7.491686583E-1
4.142863000E1	-7.551532835E-1
4.146884400E1	-7.717687315E-1
4.150905900E1	-7.538101780E-1
4.154927400E1	-7.359966356E-1
4.158948800E1	-7.430325902E-1
4.162970300E1	-7.050099009E-1
4.166991700E1	-7.928765953E-1
4.171013200E1	-6.861438596E-1
4.175034600E1	-6.247679758E-1
4.179056100E1	-5.493260300E-1
4.183077600E1	-5.810571152E-1
4.187099000E1	-5.984186679E-1
4.191120500E1	-5.117465597E-1
4.195141971E1	-4.886915731E-1
4.199163471E1	-4.825496578E-1
4.203184871E1	-5.005076265E-1
4.207206371E1	-4.481136507E-1
4.211227871E1	-3.910840023E-1
4.215249271E1	-3.930311251E-1
4.219270771E1	-3.680342782E-1
4.223292171E1	-3.392893660E-1
4.227313671E1	-2.895932955E-1
4.231335071E1	-2.364537996E-1
4.235356571E1	-1.884089828E-1
4.239378071E1	-1.759865731E-1
4.243399471E1	-1.789803475E-1
4.247420971E1	-1.310834652E-1
4.251442371E1	-1.737412423E-1
4.255463871E1	-3.603229702E-2
4.259485271E1	-3.408634365E-2
4.263506771E1	-1.248000473E-1
4.267528271E1	-1.521919137E-1
4.271549671E1	2.293921173E-2
4.275571171E1	-5.175955296E-2
4.279592571E1	-6.148873508E-2
4.283614071E1	-4.756826878E-2
4.287635471E1	2.488341093E-2
4.291656971E1	-3.555107117E-3
4.295678438E1	-4.935459316E-2
4.299699838E1	2.818474889E-2
4.303721338E1	1.052732706E-2
4.307742738E1	1.322874069E-2
4.311764238E1	3.204858899E-3
4.315785638E1	3.120483577E-2
4.319807138E1	1.035097504E-1
4.323828638E1	5.276936710E-2
4.327850038E1	1.175828290E-1
4.331871538E1	4.738349676E-2
4.335892938E1	1.388433051E-1
4.339914437E1	5.276936710E-2
4.343935838E1	-1.268261075E-3
4.347957338E1	6.174659729E-2
4.351978838E1	4.483294129E-2
4.356000238E1	9.452141047E-2
4.360021738E1	6.682490408E-2
4.364043138E1	8.972903252E-2
4.368064638E1	1.863098323E-2
4.372086038E1	2.016119957E-3
4.376107538E1	2.506525934E-2
4.380129038E1	3.794024348E-2
4.384150438E1	1.847837090E-2
4.388171938E1	-6.672257781E-3
4.392193338E1	-7.253120184E-2
4.396214808E1	-2.613003731E-2
4.400236208E1	-6.521984339E-3
4.404257708E1	2.157037854E-3
4.408279108E1	-1.176810622E-2
4.412300608E1	-5.757636309E-2
4.416322108E1	7.982034087E-3
4.420343508E1	4.180759192E-2
4.424365008E1	-2.016763151E-2
4.428386408E1	-6.417962372E-2
4.432407908E1	-4.936160982E-2
4.436429308E1	1.979282498E-3
4.440450808E1	8.111257553E-3
4.444472308E1	-7.676400125E-2
4.448493708E1	-1.495109653E-1
4.452515208E1	-2.302282691E-2
4.456536608E1	2.068101704E-2
4.460558108E1	-3.410154641E-2
4.464579508E1	-5.445511937E-2
4.468601008E1	-6.029356420E-2
