"Time (s)"	"Pressure (hPa)"	"Altitude (m)"	"Time (velocity) (s)"	"Velocity (m/s)"
-5.810484167E-1	7.547551727E2	0.000000000E0	-7.803491666E-2	-8.014310077E-4
4.249785834E-1	7.547552490E2	-8.062612324E-4	9.279995834E-1	8.014190584E-4
1.431020583E0	7.547551727E2	0.000000000E0	1.934014083E0	1.041902335E-2
2.437007583E0	7.547541809E2	1.048140204E-2	2.939980083E0	5.931097412E-2
3.442952583E0	7.547485352E2	7.014497990E-2	3.618310583E0	2.298918035E-2
3.793668583E0	7.547477722E2	7.820765328E-2	4.330189083E0	3.005543314E-3
4.866709583E0	7.547474670E2	8.143272448E-2	5.403243583E0	6.311504868E-2
5.939777583E0	7.547410583E2	1.491594635E-1	6.476306583E0	2.344333076E-1
7.012835583E0	7.547172546E2	4.007199998E-1	7.549345583E0	3.869920374E-1
8.085855583E0	7.546779633E2	8.159701958E-1	8.622344083E0	5.643839370E-1
9.158832583E0	7.546206665E2	1.421541179E0	9.695326583E0	7.447917831E-1
1.023182058E1	7.545450592E2	2.220693825E0	1.076832258E1	8.816398874E-1
1.130482458E1	7.544555664E2	3.166696951E0	1.184132908E1	8.877341907E-1
1.237783358E1	7.543654633E2	4.119243727E0	1.291432658E1	8.773138136E-1
1.345081958E1	7.542764282E2	5.060589167E0	1.398731658E1	8.834060950E-1
1.452381358E1	7.541867828E2	6.008478606E0	1.506031758E1	8.759602606E-1
1.559682158E1	7.540979004E2	6.948390974E0	1.613333808E1	8.760234529E-1
1.666985458E1	7.540090179E2	7.888393047E0	1.720637708E1	8.836177842E-1
1.774289958E1	7.539193726E2	8.836554692E0	1.827942508E1	8.829458009E-1
1.881595058E1	7.538298035E2	9.784000567E0	1.935245758E1	8.875745083E-1
1.988896458E1	7.537397766E2	1.073638044E1	2.042548308E1	8.951640756E-1
2.096200158E1	7.536489868E2	1.169692461E1	2.149851208E1	8.824746344E-1
2.203502258E1	7.535594940E2	1.264383843E1	2.257154758E1	8.735067186E-1
2.310807258E1	7.534709167E2	1.358115481E1	2.364459158E1	8.683322091E-1
2.418111058E1	7.533828735E2	1.451290827E1	2.471762608E1	7.412372758E-1
2.525414158E1	7.533077240E2	1.530827885E1	2.579064958E1	5.606788463E-1
2.632715758E1	7.532508850E2	1.590989622E1	2.686366408E1	3.958835820E-1
2.740017058E1	7.532107544E2	1.633468445E1	2.793669708E1	2.295515326E-1
2.847322358E1	7.531874847E2	1.658100541E1	2.900973308E1	5.118110690E-2
2.954624258E1	7.531822968E2	1.663592371E1	3.008275558E1	0.000000000E0
3.061926858E1	7.531822968E2	1.663592371E1	3.115579658E1	-6.773752849E-3
3.169232458E1	7.531829834E2	1.662865509E1	3.222884908E1	-1.505287553E-3
3.276537358E1	7.531831360E2	1.662703985E1	3.330188408E1	-1.204260576E-2
3.383839458E1	7.531843567E2	1.661411788E1	3.437490508E1	-9.031943943E-3
3.491141558E1	7.531852722E2	1.660442641E1	3.544791308E1	-1.129019100E-2
3.598441058E1	7.531864166E2	1.659231209E1	3.652091108E1	-1.354813511E-2
3.705741158E1	7.531877899E2	1.657777493E1	3.759392558E1	-2.408491808E-2
3.813043958E1	7.531902313E2	1.655193114E1	3.866696808E1	-1.204210989E-2
3.920349658E1	7.531914520E2	1.653900927E1	3.973998658E1	-3.161273171E-2
4.027647658E1	7.531946564E2	1.650508944E1	4.081294608E1	-1.731220246E-1
4.134941558E1	7.532122040E2	1.631934007E1	4.188587558E1	-3.515091580E-1
4.242233558E1	7.532478333E2	1.594219886E1	4.295879308E1	-5.276172734E-1
4.349525058E1	7.533013153E2	1.537611038E1	4.403173258E1	-7.021561436E-1
4.456821458E1	7.533724976E2	1.462272211E1	4.510470608E1	-8.616142093E-1
4.564119758E1	7.534598541E2	1.369822471E1	4.617768058E1	-9.142153478E-1
4.671416358E1	7.535525513E2	1.271730273E1	4.725065308E1	-8.922959374E-1
4.778714258E1	7.536430359E2	1.175988792E1	4.832364408E1	-8.786490737E-1
4.886014558E1	7.537321472E2	1.081709483E1	4.939664308E1	-8.830845087E-1
4.993314058E1	7.538217163E2	9.869549570E0	5.046963558E1	-8.837557631E-1
5.100613058E1	7.539113617E2	8.921288474E0	5.154261258E1	-8.709073667E-1
5.207909458E1	7.539997101E2	7.986836222E0	5.261561008E1	-8.730261429E-1
5.315212558E1	7.540882874E2	7.050052107E0	5.368864708E1	-8.894739223E-1
5.422516858E1	7.541785431E2	6.095608341E0	5.476170008E1	-8.841088613E-1
5.529823158E1	7.542682648E2	5.146903834E0	5.583476308E1	-8.885338184E-1
5.637129458E1	7.543584442E2	4.193451069E0	5.690779708E1	-9.050321726E-1
5.744429958E1	7.544503021E2	3.222347023E0	5.798079358E1	-8.959382238E-1
5.851728758E1	7.545412445E2	2.261016060E0	5.905378608E1	-7.740978986E-1
5.959028458E1	7.546198273E2	1.430411337E0	6.012678858E1	-6.019413513E-1
6.066329258E1	7.546809387E2	7.845234518E-1	6.119981158E1	-4.207976984E-1
6.173633058E1	7.547236633E2	3.329915311E-1	6.227283258E1	-2.562344119E-1
6.280933458E1	7.547496796E2	5.805098222E-2	6.334583908E1	-9.542813903E-2
6.388234358E1	7.547593689E2	-4.434426982E-2	""	""